epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,1.00278,1.98132,6.31292,4.47368,1.95159,0,0,0,0,0,0,0,0,0,1.42487,7.99461,4.50308,1.47564,0,0,0,0
2,2.11562,2.143,5.06288,4.48736,1.93307,0,0,0,0,0,0,0,0,0,1.42492,7.93524,4.51055,1.48502,0,4.66575e-06,4.66575e-06,4.66575e-06
3,3.3446,2.45327,5.23878,4.56173,1.98147,0,0,0,0,0,0,0,0,0,1.45327,7.81033,4.51658,1.48896,0,9.14301e-06,9.14301e-06,9.14301e-06
4,4.4841,1.43749,5.25293,4.35183,1.58512,0,0,0,0,0,0,0,0,0,1.35965,7.5913,4.52077,1.46055,0,1.34318e-05,1.34318e-05,1.34318e-05
5,5.95893,1.91451,6.76959,4.2601,1.94874,0,0,0,0,0,0,0,0,0,1.35965,7.5913,4.52077,1.46055,0,1.7532e-05,1.7532e-05,1.7532e-05
6,7.73651,2.5883,4.74745,4.78593,1.99375,0,0,0,0,0,0,0,0,0,1.38014,7.13724,4.5344,1.45747,0,2.14438e-05,2.14438e-05,2.14438e-05
7,9.21307,2.23536,5.51141,4.44649,1.71822,0,0,0,0,0,0,0,0,0,1.38014,7.13724,4.5344,1.45747,0,2.51671e-05,2.51671e-05,2.51671e-05
8,10.669,2.3725,5.6138,4.40344,1.89397,0,0,0,0,0,0,0,0,0,1.57946,6.68991,4.48509,1.48546,0,2.87018e-05,2.87018e-05,2.87018e-05
9,12.0266,2.5751,5.52404,4.43054,2.13696,0,0,0,0,0,0,0,0,0,1.57946,6.68991,4.48509,1.48546,0,3.20481e-05,3.20481e-05,3.20481e-05
10,13.1942,1.865,4.69889,4.58265,1.76612,0,0,0,0,0,0,0,0,0,1.42613,6.22602,4.49489,1.45164,0,3.52059e-05,3.52059e-05,3.52059e-05
11,14.4249,2.01899,4.16523,4.40684,1.92802,0,0,0,0,0,0,0,0,0,1.42613,6.22602,4.49489,1.45164,0,3.81752e-05,3.81752e-05,3.81752e-05
12,15.7155,2.19563,4.15209,4.38592,1.96086,0,0,0,0,0,0,0,0,0,1.42613,6.22602,4.49489,1.45164,0,4.0956e-05,4.0956e-05,4.0956e-05
13,16.9135,1.28121,5.83265,4.5153,1.34298,0,0,0,0,0,0,0,0,0,1.36745,5.74343,4.49147,1.46304,0,4.35483e-05,4.35483e-05,4.35483e-05
14,18.4771,2.29002,5.58497,4.23692,2.04685,0,0,0,0,0,0,0,0,0,1.36745,5.74343,4.49147,1.46304,0,4.59521e-05,4.59521e-05,4.59521e-05
15,19.719,1.09076,4.48611,4.04541,1.3052,0,0,0,0,0,0,0,0,0,1.36745,5.74343,4.49147,1.46304,0,4.81674e-05,4.81674e-05,4.81674e-05
16,21.2353,2.41855,5.26223,4.37629,2.11011,0,0,0,0,0,0,0,0,0,1.52487,4.8993,4.44158,1.51719,0,5.01942e-05,5.01942e-05,5.01942e-05
17,22.5389,2.01373,3.88427,4.33408,1.75416,0,0,0,0,0,0,0,0,0,1.52487,4.8993,4.44158,1.51719,0,5.20325e-05,5.20325e-05,5.20325e-05
18,23.919,1.61574,4.36489,4.09126,1.80522,0,0,0,0,0,0,0,0,0,1.52487,4.8993,4.44158,1.51719,0,5.36823e-05,5.36823e-05,5.36823e-05
19,25.1854,1.9957,4.18599,4.30201,1.75708,0,0,0,0,0,0,0,0,0,1.52487,4.8993,4.44158,1.51719,0,5.51436e-05,5.51436e-05,5.51436e-05
20,26.5586,1.39164,3.4718,4.38105,1.59563,0,0,0,0,0,0,0,0,0,1.53989,4.20128,4.39936,1.53563,0,5.64165e-05,5.64165e-05,5.64165e-05
21,28.1577,1.83086,3.76379,4.23613,1.53018,0,0,0,0,0,0,0,0,0,1.53989,4.20128,4.39936,1.53563,0,5.75008e-05,5.75008e-05,5.75008e-05
22,29.5741,2.04029,4.29861,4.29396,1.54343,0,0,0,0,0,0,0,0,0,1.53989,4.20128,4.39936,1.53563,0,5.83966e-05,5.83966e-05,5.83966e-05
23,31.3125,1.51882,5.01964,4.01751,1.79074,0,0,0,0,0,0,0,0,0,1.53989,4.20128,4.39936,1.53563,0,5.9104e-05,5.9104e-05,5.9104e-05
