filename,split,width,height,megapixels,style,fast_score,notes
22177c44-e3e1-4d32-8f5f-449416c7f28f.jpg,val,964,1600,1.542,line_drawing,85.0,B&W line drawing — walls/doors/windows only
ae4cdbb8-e2b5-4e03-82e5-26c97c0abeb6.jpg,train,1200,1170,1.404,line_drawing,85.0,B&W line drawing — walls/doors/windows only
852f2a15-23c8-45aa-93f4-e65267a48d12.jpg,val,1024,882,0.903,line_drawing,91.5,B&W line drawing — walls/doors/windows only
577f8173-8c69-4ac6-a63c-d9ffdcbc3e43.jpg,train,736,1234,0.908,line_drawing,91.4,B&W line drawing — walls/doors/windows only
ebb42e5a-9488-49bd-9b26-ffa78743e87f.jpg,train,821,1280,1.051,line_drawing,89.2,B&W line drawing — walls/doors/windows only
938c6fc1-381d-4e9b-83d7-0d5e1aa709e2.jpg,train,1200,1095,1.314,line_drawing,85.3,B&W line drawing — walls/doors/windows only
72aab0a0-c546-4e47-addd-abd510c5bf79.jpg,train,1200,927,1.112,line_drawing,88.3,B&W line drawing — walls/doors/windows only
4a17677b-cff0-4922-a564-4768195fe5a9.jpg,train,1200,899,1.079,line_drawing,88.8,B&W line drawing — walls/doors/windows only
ef320344-ea55-4976-9b95-0f1e1dc643ad.jpg,train,1200,1200,1.440,line_drawing,85.0,B&W line drawing — walls/doors/windows only
009b1b7a-ff37-4d1a-9d6c-47b8bd4862b2.jpg,train,775,1280,0.992,line_drawing,90.1,B&W line drawing — walls/doors/windows only
